wd_entity,wd_field,wd_type,wd_description
Related_Person_Descriptor_DataType,Related_Person_Relationship_Name,string,Text attribute identifying name of Relationship.
Pay_Rate_Type_ReferenceType,Pay_Type_Name,string,Unique attribute name/description identifying a valid instance of Pay Rate Type.
Contingent_Worker_Reference_DataType,Integration_ID_Reference,External_Integration_ID_Reference_DataType,
Related_Person_DataType,Related_Person_Descriptor_Data,Related_Person_Descriptor_DataType,
Related_Person_DataType,Person_Data,Person_DataType,
Related_Person_DataType,External_Contact_Data,External_Contact_DataType,
Related_Person_DataType,Emergency_Contact_Data,Emergency_Contact_Data_WWSType,
Related_Person_DataType,Beneficiary_Data,Beneficiary_Data_WWSType,
Related_Person_DataType,Dependent_Data,Dependent_Data_WWSType,
Worker_Profile_GetType,Worker_Reference,Worker_ReferenceType,
Worker_Profile_DataType,Employee_ID,string,Text attribute identifying Employee ID.
Worker_Profile_DataType,Contingent_Worker_ID,string,Text attribute identifying Contingent Worker ID.
Worker_Profile_DataType,Business_Title,string,Text attribute identifying Business Title.
Worker_Profile_DataType,Integration_ID_Data,External_Integration_ID_DataType,
Worker_Profile_DataType,Worker_Status_Data,Worker_Status_DataType,
Worker_Profile_DataType,Worker_Personal_Data,Worker_Personal_DataType,
Worker_Profile_DataType,Worker_Position_Data,Worker_Position_DataType,
Education_History_DataType,Country_Reference,CountryObjectType,The country in which the school is located or in which studies took place.
Education_History_DataType,School_Reference,SchoolObjectType,The School in which studies took place.
Education_History_DataType,Education_Institution,string,Text attribute identifying name of Education Institution.
Education_History_DataType,Educational_Institution_Type_Reference,School_Type_ReferenceType,The type of school.
Education_History_DataType,Degree_Reference,Degree_ReferenceType,The degree program in which studies took place.
Education_History_DataType,Degree_Completed_Reference,Degree_CompletedObjectType,"Indicates whether the degree was received. Possible values are 'Yes', 'No', and blank."
Education_History_DataType,Field_Of_Study_Reference,Field_Of_Study_ReferenceType,Lookup representing a Field of Study.
Education_History_DataType,Education_Institution_Location,string,Text attribute identifying Education Institution Location.
Education_History_DataType,Education_Grade_Average,string,Text attribute identifying Grade Average.
Education_History_DataType,First_Year_Attended,date,The first year in which studies took place at the school.
Education_History_DataType,Last_Year_Attended,date,The last year in which studies took place at the school.
Degree_ReferenceType,Degree_Name,string,Unique attribute name/description identifying a valid instance of Degree.
Field_Of_Study_ReferenceType,Field_Of_Study_Name,string,Unique attribute name/description identifying a valid instance of Field Of Study.
Qualification_DataType,Education_Data,Education_History_DataType,Encapsulating element containing all Education data.
Qualification_DataType,Professional_Experience_Data,Professional_Experience_DataType,
Professional_Experience_DataType,Professional_Experience,string,Text attribute identifying description of Professional Experience.
Professional_Experience_DataType,Professional_Experience_Rating_Reference,Professional_Experience_Rating_ReferenceType,
Professional_Experience_DataType,Professional_Experience_Comment,string,Comment
Professional_Experience_Rating_ReferenceType,Rating_Description,string,Unique attribute name/description identifying a valid instance of Work Experience Rating.
External_Integration_ID_Reference_DataType,ID,IDType,
