concept_id,system,object_name,field_name,category,object_description,field_description,note
account.id,Workday,CR_FCT_IAM_AD_ACCOUNT,ID,HR,,CR_FCT_IAM_AD_ACCOUNT HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_FCT_IAM_AD_ACCOUNT Total,,HR,,CR_FCT_IAM_AD_ACCOUNT Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_FCT_IAM_AD_ACCOUNT_CURRENT,ID,HR,,CR_FCT_IAM_AD_ACCOUNT_CURRENT HRDH datahub: bigint,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_FCT_IAM_AD_ACCOUNT_CURRENT Total,,HR,,CR_FCT_IAM_AD_ACCOUNT_CURRENT Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_FCT_IAM_AD_ACCOUNT_DELTA,ID,HR,,CR_FCT_IAM_AD_ACCOUNT_DELTA HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_FCT_IAM_AD_ACCOUNT_DELTA Total,,HR,,CR_FCT_IAM_AD_ACCOUNT_DELTA Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_FCT_KPI,ID,HR,,CR_FCT_KPI HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_FCT_KPI Total,,HR,,CR_FCT_KPI Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_FCT_LOA,ID,HR,,CR_FCT_LOA HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_FCT_LOA Total,,HR,,CR_FCT_LOA Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_FCT_LOA_PROCESSING,ID,HR,,CR_FCT_LOA_PROCESSING HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_FCT_LOA_PROCESSING Total,,HR,,CR_FCT_LOA_PROCESSING Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_FCT_PERFORMANCE_TEMPLATE,ID,HR,,CR_FCT_PERFORMANCE_TEMPLATE HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_FCT_PERFORMANCE_TEMPLATE Total,,HR,,CR_FCT_PERFORMANCE_TEMPLATE Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
