wd_entity,wd_field,wd_type,wd_description,classification_bucket,direct_field_canonical_concept_id,description_canonical_concept_id,top_canonical_concept_id,top_canonical_strength,top_knowledge_concept_id,top_knowledge_strength
License_Identifier_DataType,Verification_Date,date,Date the License ID was verified.,direct_alias_match,employee.national_id,,activity id,0.800,employee.national_id,1.000
License_Identifier_DataType,Country_Reference,Country_ReferenceType,,direct_alias_match,address.country,,activity id,0.800,address.country,1.000
License_Identifier_DataType,Country_Region_Reference,Country_Region_ReferenceType,,direct_alias_match,address.country,,activity id,0.500,address.country,1.000
License_Identifier_DataType,Authority_Reference,Authority_ReferenceType,,direct_alias_match,address.country,,address.city,0.800,address.country,1.000
Passport_Identifier_DataType,Passport_Number,string,Text attribute identifying Passport ID.,direct_alias_match,employee.passport_id,,employee.passport_id,1.000,employee.passport_id,0.550
Passport_Identifier_DataType,Country_Reference,Country_ReferenceType,Reference element representing the country.,direct_alias_match,address.country,,activity id,0.800,address.country,1.000
Passport_Identifier_DataType,Issued_Date,date,Date the Passport ID was issued.,direct_alias_match,employee.national_id,,activity id,0.800,employee.national_id,1.000
Passport_Identifier_DataType,Expiration_Date,date,Date the Passport ID expires.,direct_alias_match,employee.national_id,,activity id,0.800,employee.national_id,1.000
Passport_Identifier_DataType,Verification_Date,date,Date the Passport ID was verified.,direct_alias_match,employee.national_id,,activity id,0.800,employee.national_id,1.000
Compensation_Element_ReferenceType,Compensation_Element_Name,string,Unique attribute name/description identifying a valid instance of Compensation Element.,unmapped,,,,,,
System_User_DataType,User_Name,string,The user name the new user will use to sign on to Workday.,strong_canonical_candidate,,,account.name,0.800,customer name,0.550
System_User_DataType,Account_Disabled,boolean,The user is prevented from signing on to the system.,unmapped,,,,,,
System_User_DataType,Required_New_Password_At_Next_Login,boolean,The user will be required to change their password upon initial sign on.,unmapped,,,,,,
System_User_DataType,Enable_Workbox,boolean,The user will have the Workbox tab available in the right-side slide-out.,unmapped,,,,,,
System_User_DataType,Locale_Reference,LocaleObjectType,The local defines the user's language and country which will affect their experience in the Workday system.,direct_alias_match,address.country,,account.id,0.500,account owner,0.550
System_User_DataType,Generate_Random_Password,boolean,The system should generate a random password for the user.,unmapped,,,,,,
System_User_DataType,Exempt_from_Delegated_Authentication,boolean,"True when the user is exempt from Delegated Authentication, False otherwise. Set this element to true if you want the user to be exempt from delegated authentication.",unmapped,,,,,,
